Month,Region,Category,Revenue,Profit,UnitsSold,Satisfaction
Jan,North,Electronics,45000,12000,150,4.5
Jan,South,Electronics,38000,9500,120,4.2
Jan,East,Furniture,29000,6000,200,4.0
Jan,West,Apparel,18000,4500,310,4.6
Feb,North,Electronics,52000,14500,175,4.7
Feb,South,Electronics,41000,10200,135,4.3
Feb,East,Furniture,31000,6500,215,4.1
Feb,West,Apparel,21000,5200,340,4.5
Mar,North,Electronics,61000,18000,210,4.8
Mar,South,Electronics,46000,11800,155,4.4
Mar,East,Furniture,35000,7800,240,4.2
Mar,West,Apparel,25000,6300,400,4.7
Apr,North,Electronics,58000,16200,195,4.6
Apr,South,Electronics,44000,11000,148,4.3
Apr,East,Furniture,33000,7100,225,4.0
Apr,West,Apparel,23000,5800,380,4.6
May,North,Electronics,67000,20500,230,4.9
May,South,Electronics,49000,12900,165,4.5
May,East,Furniture,38000,8900,260,4.3
May,West,Apparel,28000,7100,430,4.8
Jun,North,Electronics,73000,23000,250,4.9
Jun,South,Electronics,53000,14100,180,4.5
Jun,East,Furniture,42000,10100,285,4.4
Jun,West,Apparel,31000,8000,470,4.8
